root_form,form_name,filed_at,reporting_for,entity_name,ticker,company_cik,company_cik_trimmed,place_of_business,incorporated_location,file_num,film_num,file_num_search_url,filing_details_url,filing_document_url
,,2021-07-22,,"NavSight Holdings, Inc.",SPIR,0001816017,1816017,"Reston, Virginia",Delaware,333-256112,211108189,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=333-256112&action=getcompany,https://www.sec.gov/Archives/edgar/data/1816017/000119312521221922/0001193125-21-221922-index.html,https://www.sec.gov/Archives/edgar/data/1816017/000119312521221922/d129041d424b3.htm
,,2021-08-06,,Rotor Acquisition Corp.,"PDYN, PDYNW",0001826681,1826681,"New York, New York",Delaware,001-39897,211153755,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=001-39897&action=getcompany,https://www.sec.gov/Archives/edgar/data/1826681/000156459021042201/0001564590-21-042201-index.html,https://www.sec.gov/Archives/edgar/data/1826681/000156459021042201/rot-defm14a_20210802.htm
,,2021-03-31,,Forest Road Acquisition Corp.,"BODI, BODYW",0001826889,1826889,"New York, New York",Delaware,333-253136,21788876,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=333-253136&action=getcompany,https://www.sec.gov/Archives/edgar/data/1826889/000119312521100716/0001193125-21-100716-index.html,https://www.sec.gov/Archives/edgar/data/1826889/000119312521100716/d111487ds4a.htm
,,2021-05-14,,GOOD WORKS ACQUISITION CORP.,"CIFR, CIFRW",0001819989,1819989,"Houston, Texas",Delaware,333-256115,21921867,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=333-256115&action=getcompany,https://www.sec.gov/Archives/edgar/data/1819989/000119312521161188/0001193125-21-161188-index.html,https://www.sec.gov/Archives/edgar/data/1819989/000119312521161188/d127963ds4.htm
,,2021-06-15,,GOOD WORKS ACQUISITION CORP.,"CIFR, CIFRW",0001819989,1819989,"Houston, Texas",Delaware,333-256115,211016696,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=333-256115&action=getcompany,https://www.sec.gov/Archives/edgar/data/1819989/000119312521190374/0001193125-21-190374-index.html,https://www.sec.gov/Archives/edgar/data/1819989/000119312521190374/d127963ds4a.htm
,,2021-05-13,,Osprey Technology Acquisition Corp.,"BKSY, BKSY-WT",0001753539,1753539,"Philadelphia, Pennsylvania",Delaware,333-256103,21920779,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=333-256103&action=getcompany,https://www.sec.gov/Archives/edgar/data/1753539/000119312521160673/0001193125-21-160673-index.html,https://www.sec.gov/Archives/edgar/data/1753539/000119312521160673/d138775ds4.htm
,,2021-07-26,,GOOD WORKS ACQUISITION CORP.,"CIFR, CIFRW",0001819989,1819989,"Houston, Texas",Delaware,333-256115,211114853,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=333-256115&action=getcompany,https://www.sec.gov/Archives/edgar/data/1819989/000119312521224426/0001193125-21-224426-index.html,https://www.sec.gov/Archives/edgar/data/1819989/000119312521224426/d127963ds4a.htm
,,2021-02-16,,Forest Road Acquisition Corp.,"BODI, BODYW",0001826889,1826889,"New York, New York",Delaware,333-253136,21637193,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=333-253136&action=getcompany,https://www.sec.gov/Archives/edgar/data/1826889/000119312521044702/0001193125-21-044702-index.html,https://www.sec.gov/Archives/edgar/data/1826889/000119312521044702/d111487ds4.htm
,,2021-05-28,,Forest Road Acquisition Corp.,"BODI, BODYW",0001826889,1826889,"New York, New York",Delaware,333-253136,21980006,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=333-253136&action=getcompany,https://www.sec.gov/Archives/edgar/data/1826889/000119312521176895/0001193125-21-176895-index.html,https://www.sec.gov/Archives/edgar/data/1826889/000119312521176895/d111487d424b3.htm
,,2021-04-07,,ArcLight Clean Transition Corp.,,0001820630,182063,"Boston, Massachusetts",Cayman Islands,333-252674,21812848,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=333-252674&action=getcompany,https://www.sec.gov/Archives/edgar/data/182063/000121390021020669/0001213900-21-020669-index.html,https://www.sec.gov/Archives/edgar/data/182063/000121390021020669/fs42021a1_arclightclean.htm
